2025-12-04 17:33:50.854342 | student001 | ['Multiple faces detected']
2025-12-04 17:33:50.854342 | student001 | ['Multiple faces detected']
2025-12-04 17:33:50.877770 | student001 | ['Multiple faces detected']
2025-12-04 17:33:50.877770 | student001 | ['Multiple faces detected']
2025-12-04 17:33:50.934514 | student001 | ['Multiple faces detected']
2025-12-04 17:33:51.071721 | student001 | ['Multiple faces detected']
2025-12-04 17:33:51.178464 | student001 | ['Multiple faces detected']
2025-12-04 17:33:51.190355 | student001 | ['Multiple faces detected']
2025-12-04 17:33:51.190355 | student001 | ['Multiple faces detected']
2025-12-04 17:33:51.203907 | student001 | ['Multiple faces detected']
2025-12-04 17:33:51.230814 | student001 | ['Multiple faces detected']
2025-12-04 17:33:51.896610 | student001 | ['No face detected']
2025-12-04 17:33:51.896610 | student001 | ['No face detected']
2025-12-04 17:33:51.897606 | student001 | ['No face detected']
2025-12-04 17:33:51.942803 | student001 | ['No face detected']
2025-12-04 17:33:52.568787 | student001 | ['No face detected']
2025-12-04 17:33:52.627196 | student001 | ['No face detected']
2025-12-04 17:33:52.701199 | student001 | ['Multiple faces detected']
2025-12-04 17:33:53.030194 | student001 | ['Multiple faces detected']
2025-12-04 17:33:53.084243 | student001 | ['Multiple faces detected']
2025-12-04 17:33:53.117268 | student001 | ['Multiple faces detected']
2025-12-04 17:33:53.362406 | student001 | ['Multiple faces detected']
2025-12-04 17:33:53.547081 | student001 | ['No face detected']
2025-12-04 17:33:53.548964 | student001 | ['Multiple faces detected']
2025-12-04 17:33:53.548964 | student001 | ['Multiple faces detected']
2025-12-04 17:33:53.548964 | student001 | ['Multiple faces detected']
2025-12-04 17:33:53.625841 | student001 | ['No face detected']
2025-12-04 17:33:53.703705 | student001 | ['No face detected']
2025-12-04 17:33:53.957967 | student001 | ['No face detected']
2025-12-04 17:33:53.992926 | student001 | ['No face detected']
2025-12-04 17:33:54.003795 | student001 | ['No face detected']
2025-12-04 17:33:54.028282 | student001 | ['No face detected']
2025-12-04 17:33:57.734529 | student001 | ['Multiple faces detected']
2025-12-04 17:33:57.749238 | student001 | ['Multiple faces detected']
2025-12-04 17:33:58.063489 | student001 | ['Multiple faces detected']
2025-12-04 17:33:58.065119 | student001 | ['Multiple faces detected']
2025-12-04 17:33:58.116489 | student001 | ['Multiple faces detected']
2025-12-04 17:33:58.121744 | student001 | ['Multiple faces detected']
2025-12-04 17:33:58.151122 | student001 | ['Multiple faces detected']
2025-12-04 17:34:01.081944 | student001 | ['No face detected']
2025-12-04 17:34:01.135976 | student001 | ['No face detected']
2025-12-04 17:34:01.474193 | student001 | ['No face detected']
2025-12-04 17:34:01.527893 | student001 | ['No face detected']
2025-12-04 17:34:01.529887 | student001 | ['No face detected']
2025-12-04 17:34:01.556362 | student001 | ['No face detected']
2025-12-04 17:34:01.558346 | student001 | ['No face detected']
2025-12-04 17:34:01.681578 | student001 | ['No face detected']
2025-12-04 17:34:01.962426 | student001 | ['No face detected']
2025-12-04 17:34:02.053011 | student001 | ['No face detected']
2025-12-04 17:34:02.056999 | student001 | ['No face detected']
2025-12-04 17:34:02.057997 | student001 | ['No face detected']
2025-12-04 17:34:02.281866 | student001 | ['No face detected']
2025-12-04 17:34:40.400041 | student001 | ['No face detected']
2025-12-04 17:34:40.400041 | student001 | ['No face detected']
2025-12-04 17:34:41.444044 | student001 | ['No face detected']
2025-12-04 17:34:42.320255 | student001 | ['No face detected']
2025-12-04 17:34:42.401928 | student001 | ['No face detected']
2025-12-04 17:34:42.596911 | student001 | ['No face detected']
2025-12-04 17:34:42.605589 | student001 | ['No face detected']
2025-12-04 17:34:49.783032 | student001 | ['Multiple faces detected']
2025-12-04 17:34:49.783032 | student001 | ['Multiple faces detected']
2025-12-04 17:34:49.783032 | student001 | ['Multiple faces detected']
2025-12-04 17:34:49.909316 | student001 | ['Multiple faces detected']
2025-12-04 17:34:50.232257 | student001 | ['Multiple faces detected']
2025-12-04 17:34:50.445265 | student001 | ['Multiple faces detected']
2025-12-04 17:34:51.771795 | student001 | ['Multiple faces detected']
2025-12-04 17:34:51.861464 | student001 | ['Multiple faces detected']
2025-12-04 17:34:51.861464 | student001 | ['Multiple faces detected']
2025-12-04 17:34:51.861464 | student001 | ['Multiple faces detected']
2025-12-04 17:34:52.111973 | student001 | ['Multiple faces detected']
2025-12-04 17:34:52.111973 | student001 | ['Multiple faces detected']
2025-12-04 17:34:53.942543 | student001 | ['Multiple faces detected']
2025-12-04 17:34:55.983140 | student001 | ['Multiple faces detected']
2025-12-04 17:34:55.983140 | student001 | ['Multiple faces detected']
2025-12-04 17:34:56.184842 | student001 | ['Multiple faces detected']
